id,year,field of study,degree,gpa,aid,name,grad
85,2010,Data Analytics,Masters,2.839930482,1,"Marroquin, Cristian",Grad
86,2010,Rug Weaving,Masters,2.983871194,0,"Beyes, Evan",Grad
87,2010,Rug Weaving,Masters,2.993793298,0,"Matthews, Cole",Grad
88,2010,Rug Weaving,BA,3.064777184,1,"Yoon, Andy",UG
89,2010,Rug Weaving,Masters,3.220572555,0,"Castro, Valentin",Grad
90,2010,Container Design,BA,3.094868016,1,"Le, Micheal",UG
91,2010,Container Design,BA,2.961165627,0,"Brigham, Jevon",UG
92,2010,Container Design,BA,3.350377831,0,"Roybal, Victor",UG
93,2010,Container Design,BA,3.318086845,0,"Williams, Darryl",UG
94,2010,Data Analytics,Doctoral,2.759341359,0,"Martinez, Mathew",Grad
95,2010,Data Analytics,BA,2.736827857,1,"Keys, Erin",UG
96,2010,Basket Weaving,BA,3.017474522,0,"Ota, Rolf",UG
97,2010,Basket Weaving,Minor,2.989309467,0,"Baker, Brady",Grad
98,2010,Basket Weaving,BA,2.899435102,1,"Earl, Wyatt",UG
99,2010,Rug Weaving,BA,2.619250713,0,"Mortensen, Eden",UG
100,2010,Basket Weaving,BA,3.072108124,0,"Britton, Jeremy",UG
101,2010,Rug Weaving,BA,2.676705671,1,"Johnson, Maurice",UG
102,2010,Rug Weaving,BA,2.909194833,1,"Santos, Scott",UG
103,2010,Container Design,BA,3.100045569,0,"Patrick, Theodore",UG
104,2010,Rug Weaving,BA,2.82321467,0,"Black, Jibrael",UG
105,2010,Container Design,BA,3.00517491,0,"Shute, John",UG
106,2010,Container Design,BA,3.254254828,1,"Dozier, Trysten",UG
107,2010,Container Design,BA,2.651212175,1,"Wilson, Spencer",UG
108,2010,Basket Weaving,BA,2.946639893,1,"Green, Clinton",UG
109,2010,Container Design,BA,3.063894955,1,"Hewett, Joshua",UG
110,2010,Rug Weaving,BA,2.672595842,0,"Torres, Isiah",UG
111,2010,Basket Weaving,Masters,3.067658316,0,"Hadnott, Colton",Grad
112,2010,Container Design,BA,2.899413917,0,"Humphrey, Joseph",UG
113,2010,Basket Weaving,Doctoral,2.933456775,1,"Cook, Jeremiah",Grad
114,2010,Rug Weaving,BA,3.237347253,0,"Brittain, Benjamin",UG
115,2010,Basket Weaving,Masters,2.687687321,0,"Varanasi, Kailib",Grad
116,2010,Container Design,Minor,2.834056934,1,"Gaytan, Brian",Grad
117,2010,Rug Weaving,BA,3.03736043,0,"Carter, John",UG
118,2010,Basket Weaving,Minor,2.776638303,0,"Middleton, Elias",Grad
119,2010,Basket Weaving,BA,3.247233752,1,"Silva, Ramon",UG
120,2010,Basket Weaving,Doctoral,3.169869551,0,"Gonzales, Cesar",Grad
121,2010,Container Design,BA,3.073994899,1,"Folley, Austin",UG
122,2010,Container Design,BA,2.88638987,1,"Hugo, Jerry",UG
123,2010,Basket Weaving,Masters,2.672758593,0,"Souza, Tony",Grad
124,2010,Data Analytics,Doctoral,2.756327661,0,"Dowodzenka, Timothy",Grad
125,2010,Rug Weaving,BA,3.461463403,0,"Vigil, Jesse",UG
126,2010,Basket Weaving,BA,2.840544218,1,"Yujiri, Navkirat",UG
127,2010,Container Design,BA,2.945053864,0,"Than, Barry",UG
128,2010,Container Design,Doctoral,2.759766401,0,"Wada, Reginald",Grad
129,2010,Container Design,BA,2.937160442,0,"Jaynes, Thomas",UG
130,2010,Basket Weaving,Doctoral,3.063699822,0,"Bishara, Cody",Grad
131,2010,Rug Weaving,Doctoral,2.82820185,0,"Flood, Eugene",Grad
132,2010,Container Design,BA,2.882486096,0,"Siler-Green, Dalantae",UG
133,2010,Rug Weaving,BA,2.868904969,1,"Dawlatzai, Rafiullah",UG
134,2010,Basket Weaving,BA,2.969207119,0,"Buckingham, Charles",UG
135,2010,Rug Weaving,BA,3.205206875,0,"Montoya, Roman",UG
136,2010,Container Design,BA,2.996312945,0,"Fifita, Michael",UG
137,2010,Basket Weaving,Doctoral,3.095249979,0,"Huynh, Byunghyun",Grad
138,2010,Basket Weaving,BA,2.909062544,0,"Seeley, Tyler",UG
139,2010,Container Design,BA,2.823090732,0,"Le, Calvin",UG
140,2010,Data Analytics,Doctoral,2.677006647,0,"Smith, Jacob",Grad
141,2010,Basket Weaving,BA,3.132198745,0,"Mc Mullen, Taylor",UG
142,2010,Container Design,BA,3.01885225,0,"Rodriguez, Kevin",UG
143,2010,Basket Weaving,Masters,2.729306635,0,"Jago, Austin",Grad
144,2010,Data Analytics,BA,2.695990497,0,"Wilson, Nicholas",UG
145,2010,Basket Weaving,BA,3.131285387,0,"Castillo, Taylor",UG
146,2010,Basket Weaving,BA,2.667792261,1,"Miraflor, Christian",UG
147,2010,Container Design,BA,3.432404584,0,"Franklin Jr, Jaden",UG
148,2010,Container Design,BA,3.226935105,0,"Gardner, Brandon",UG
149,2010,Rug Weaving,Doctoral,2.95923619,1,"Schiff, Colton",Grad
150,2010,Basket Weaving,Minor,2.986399891,1,"Villar, Brandon",Grad
151,2010,Basket Weaving,Minor,3.194308582,1,"Butler, Kii",Grad
152,2010,Basket Weaving,BA,3.251912788,0,"Truong, Kevin",UG
153,2010,Basket Weaving,BA,3.613003064,0,"Khim, Va'Aahi",UG
154,2010,Basket Weaving,BA,2.787920482,0,"Preciado, Jorge",UG
155,2010,Container Design,Masters,2.736881524,0,"Wagner, Jordan",Grad
156,2010,Container Design,BA,3.186510116,0,"Moua, Daniel",UG
157,2010,Container Design,Masters,2.856637592,0,"Escobar, Werner",Grad
158,2010,Basket Weaving,BA,2.708886119,0,"Guzman-Jaime, Rocco",UG
159,2010,Data Analytics,Doctoral,3.093890023,0,"Chen, Kao",Grad
160,2010,Basket Weaving,BA,2.825256787,1,"Asuega, Micheal",UG
161,2010,Container Design,Doctoral,3.187071346,0,"Medina, Eduardo",Grad
162,2010,Container Design,Masters,2.856574405,1,"Fuentes-Medellin, Darian",Grad
163,2010,Container Design,BA,3.300960743,1,"Hardt, Kory",UG
164,2010,Rug Weaving,Masters,3.191773201,0,"Walker-Langman, Walker",Grad
165,2010,Basket Weaving,BA,2.949493161,0,"Wright-Jackson, Adon",UG
166,2010,Container Design,Masters,2.80184709,0,"Banuelos, Dominick",Grad
167,2010,Rug Weaving,BA,2.985027938,1,"Moore, Shawn",UG
168,2010,Basket Weaving,BA,2.956732394,0,"Mai, Michael",UG
169,2010,Basket Weaving,BA,2.752034816,0,"Foster, Alexander",UG
170,2010,Basket Weaving,BA,2.835861916,0,"Von Feldt, Ryan",UG
171,2010,Basket Weaving,BA,3.123152825,0,"Goolsby, Arnie",UG
172,2010,Basket Weaving,BA,3.330809072,1,"Lor, Tyler",UG
173,2010,Container Design,BA,2.781978702,0,"Flores Alvidrez, Jesus",UG
174,2010,Basket Weaving,BA,2.880918862,1,"Gonzalez, Michael",UG
175,2010,Basket Weaving,BA,3.208832837,1,"Henderson-Brown, Kyree",UG
176,2010,Container Design,BA,2.979067313,0,"Ortega, Sage",UG
177,2010,Rug Weaving,BA,2.98803716,0,"Phan, Danny",UG
178,2010,Container Design,Minor,3.035051784,1,"Drummond, Marcus",Grad
179,2010,Rug Weaving,BA,3.132672962,0,"Hoang, Timothy",UG
180,2010,Basket Weaving,BA,3.024790684,0,"Torres-Medina, Angel",UG
181,2010,Rug Weaving,BA,2.824096643,0,"Trent, Darin",UG
182,2010,Rug Weaving,BA,3.309456633,1,"Mcneil, Carl",UG
183,2010,Rug Weaving,Masters,2.773489555,0,"Lara-Rodriguez, Blake",Grad
184,2010,Rug Weaving,BA,3.479241414,0,"Galicia Hernandez, Tre",UG
185,2010,Basket Weaving,BA,3.176446675,0,"Nickeson, Tylor",UG
186,2010,Rug Weaving,Doctoral,3.024378208,1,"Senphannarat, Shawn",Grad
187,2010,Basket Weaving,Masters,2.713804529,1,"De Dios, Emmitt",Grad
188,2010,Basket Weaving,BA,2.739427494,0,"Tompkins, Kyle",UG
189,2010,Basket Weaving,BA,3.033240474,1,"Montoya, Jose",UG
190,2010,Container Design,BA,2.941974942,1,"Flakes, Macklin",UG
191,2010,Basket Weaving,Masters,3.36652599,0,"Fuller, Tyler",Grad
192,2010,Rug Weaving,Doctoral,3.347907343,1,"Gonzalez Perez, Christopher",Grad
193,2010,Rug Weaving,BA,3.196376219,0,"Newland, Casey",UG
194,2010,Basket Weaving,Minor,3.005131856,0,"White, Nolan",Grad
195,2010,Rug Weaving,Minor,3.11737036,0,"Chandramouli, Shanhuan",Grad
196,2010,Container Design,BA,3.059573745,1,"Gutierrez Sandoval, Isac",UG
197,2010,Rug Weaving,Minor,3.076242588,1,"Bailey, John",Grad
198,2010,Basket Weaving,BA,2.620899605,0,"Lew, Daniel",UG
199,2010,Basket Weaving,BA,2.811120482,1,"Bell, Anthony",UG
200,2010,Rug Weaving,Masters,2.975949088,0,"Tat, Alan",Grad
201,2010,Container Design,Masters,3.182234985,0,"Loera, Matthew",Grad
202,2010,Basket Weaving,Doctoral,2.995124261,0,"Hoch, Dalton",Grad
203,2010,Container Design,Doctoral,3.327155629,0,"Hall, Isaiah",Grad
204,2010,Data Analytics,Minor,3.194599724,1,"Sayasane, Akil",Grad
205,2010,Basket Weaving,BA,2.930584613,0,"Chavez, Brandon",UG
206,2010,Container Design,Minor,3.090734516,1,"Bolyard, Elijah",Grad
207,2010,Container Design,Doctoral,2.751411939,0,"Joiner, Garrett",Grad
208,2010,Data Analytics,BA,3.369456377,1,"Reeder, Lyndon",UG
209,2010,Basket Weaving,Masters,2.839709233,1,"Vela, Zachary",Grad
210,2010,Container Design,BA,2.882686598,0,"Lyles, Samuel",UG
211,2010,Basket Weaving,BA,3.160628127,0,"Paudel, Ishmam",UG
212,2010,Container Design,BA,2.985534643,0,"Esquibel, Jacob",UG
213,2010,Container Design,Masters,2.791019553,0,"Lewien, Jeremy",Grad
214,2010,Container Design,BA,3.058834646,1,"Boykin, Ryne",UG
215,2010,Basket Weaving,BA,3.262371469,0,"Estrada, Martin",UG
216,2010,Rug Weaving,BA,2.855426905,1,"Stewart, Jose",UG
217,2010,Basket Weaving,Doctoral,3.366418535,0,"Leeper, Todd",Grad
218,2010,Basket Weaving,BA,2.958031974,1,"Porras, Gregory",UG
219,2010,Rug Weaving,BA,2.758134253,0,"Ly, James",UG
220,2010,Basket Weaving,Doctoral,2.981845034,0,"Singh, Luke",Grad
221,2010,Basket Weaving,BA,2.82345287,0,"Wako, Ean",UG
222,2010,Data Analytics,Doctoral,2.894627493,0,"Bell, Ryan",Grad
223,2010,Data Analytics,BA,2.987257575,0,"Loya, Jose Antonio",UG
224,2010,Rug Weaving,BA,2.757005198,1,"Rozeski, Cameron",UG
225,2010,Rug Weaving,BA,3.255078428,0,"Martinez Nieblas, Andres",UG
226,2010,Container Design,BA,2.676603235,0,"Kirgis, Nathan",UG
227,2010,Rug Weaving,BA,2.935311861,0,"Snider, Kaleb",UG
228,2010,Rug Weaving,BA,2.749834248,0,"Onyeali, Antonio",UG
229,2010,Basket Weaving,BA,2.955108525,0,"Donovan, Elder",UG
230,2010,Basket Weaving,Masters,2.807632434,0,"Davis, Thomas",Grad
231,2010,Rug Weaving,Doctoral,2.841951919,0,"Laping, Nathan",Grad
232,2010,Container Design,Minor,3.351567697,0,"Davis, Christopher",Grad
233,2010,Rug Weaving,Doctoral,3.356400276,0,"Oakes, Bobby",Grad
234,2010,Basket Weaving,BA,2.981857917,1,"Soto Garcia, Pedro",UG
235,2010,Rug Weaving,BA,2.934657977,0,"Garcia, Juan",UG
236,2010,Container Design,BA,2.809995591,0,"Parmer, Anthony",UG
237,2010,Container Design,Masters,3.06184265,0,"Ortiz, Jordan",Grad
238,2010,Container Design,BA,3.202412834,1,"Tenorio, Dakota",UG
239,2010,Rug Weaving,Minor,2.809209638,1,"Nogrady, Alex",Grad
240,2010,Basket Weaving,Minor,3.087216191,0,"Lange, Austin",Grad
241,2010,Container Design,Doctoral,2.862873269,0,"Hart, Joshua",Grad
242,2010,Container Design,BA,2.750060265,0,"Gonzalez, Angel",UG
243,2010,Rug Weaving,Minor,3.122575361,0,"Noufi, Brian",Grad
244,2010,Basket Weaving,Doctoral,3.522590813,0,"Einhorn, Elliot",Grad
245,2010,Basket Weaving,Masters,3.455120273,1,"Alexander, Marcus",Grad
246,2010,Basket Weaving,Minor,3.302208958,0,"Williams, Emerson",Grad
247,2010,Container Design,Doctoral,3.035984445,0,"Walker, Jacob",Grad
248,2010,Basket Weaving,BA,2.894468781,0,"Comfort, Tyler",UG
249,2010,Basket Weaving,BA,2.736681935,0,"Simmons, Kevin",UG
250,2010,Container Design,BA,3.221091346,0,"Prechtl, Derrick",UG
251,2010,Rug Weaving,Doctoral,2.739735123,0,"Nichols, Vincent",Grad
252,2010,Container Design,BA,3.180564617,0,"Dorsey, Cory",UG
253,2010,Basket Weaving,BA,3.173724272,0,"Chong, Hoc",UG
254,2010,Rug Weaving,Doctoral,3.185651718,0,"Kler, Kayle",Grad
255,2010,Rug Weaving,BA,2.641406554,0,"Farnsworth, Daryon",UG
256,2010,Container Design,BA,2.617469009,0,"Hughes, Nakai",UG
257,2010,Container Design,BA,2.926790646,0,"Miale, Jonathan",UG
258,2010,Rug Weaving,Doctoral,3.234363492,0,"Harrison, Demontrae",Grad
259,2010,Container Design,BA,2.865993546,0,"Yarbrough-Montoya, Kevin",UG
260,2010,Data Analytics,BA,3.207561878,0,"Jimenez Rodriguez, Isaiah",UG
261,2010,Rug Weaving,Masters,2.935304544,0,"Thogersen, Tim",Grad
262,2010,Data Analytics,Masters,2.806693784,0,"Barton, Winn",Grad
263,2010,Rug Weaving,BA,3.238500181,0,"Brewster, Leon",UG
264,2010,Basket Weaving,BA,2.677940642,0,"Burton, Gregory",UG
265,2010,Rug Weaving,BA,3.129236487,1,"Quintana Lorenzana, Marcos",UG
266,2010,Container Design,Minor,2.716829652,0,"Daniels-Hill, Dorian",Grad
267,2010,Container Design,BA,2.895194042,0,"Dugas, Sammy",UG
268,2010,Basket Weaving,BA,3.024034791,0,"Whaley, Setu",UG
269,2010,Basket Weaving,Masters,2.798105619,0,"Schenck, Ryan",Grad
270,2010,Rug Weaving,Minor,2.740003344,0,"Hall, Paul",Grad
271,2010,Rug Weaving,BA,3.038797789,0,"Zarnoch, Trenton",UG
272,2010,Rug Weaving,Masters,3.039860995,1,"Gygi, Dakota",Grad
273,2010,Container Design,Masters,3.105146521,0,"Garcia, Jose",Grad
274,2010,Container Design,BA,2.987577251,0,"Gardner, Johnathan",UG
275,2010,Basket Weaving,BA,2.922510036,0,"Dominguez, Christopher",UG
276,2010,Basket Weaving,BA,3.024000806,0,"Moore, John",UG
277,2010,Data Analytics,BA,2.877581235,0,"Mann, Ryan",UG
278,2010,Rug Weaving,BA,3.037464722,1,"Barfield, Zachary",UG
279,2010,Basket Weaving,BA,3.314701483,0,"Worford, Aaron",UG
280,2010,Container Design,Masters,2.94437428,0,"Croslin, Tre",Grad
281,2010,Container Design,BA,2.726256257,0,"Courtney, Michael",UG
282,2010,Rug Weaving,Masters,2.892920971,0,"Shah, Justin",Grad
283,2010,Basket Weaving,Masters,3.481499999,0,"Kim, Krischian",Grad
284,2010,Container Design,BA,2.880688762,1,"Salazar, Jesse",UG
285,2010,Container Design,BA,2.747655203,1,"Feseha, Ian",UG
286,2010,Rug Weaving,BA,3.335399216,0,"Schooley, Taylor",UG
287,2010,Rug Weaving,BA,2.620355155,0,"Voyles, Tyler",UG
288,2010,Container Design,BA,3.229083728,0,"Covert, Justin",UG
289,2010,Basket Weaving,BA,3.022185287,0,"Dodge, Kevin",UG
290,2010,Container Design,BA,3.208072462,0,"Samuels, Jude",UG
291,2010,Basket Weaving,BA,2.812426107,0,"Nagamoto, Steven",UG
292,2010,Basket Weaving,BA,2.919967811,1,"Littrell, Nicholas",UG
293,2010,Container Design,Doctoral,3.095352586,0,"Som, Pornchai",Grad
294,2010,Basket Weaving,Minor,3.032345691,0,"Kavanagh, John",Grad
295,2010,Basket Weaving,BA,3.080109338,1,"Turner, Richard",UG
296,2010,Basket Weaving,BA,3.466267562,1,"Ortega, Christian",UG
297,2010,Rug Weaving,BA,2.863873922,0,"Sandoval, Fabian",UG
298,2010,Container Design,Doctoral,2.461299627,1,"Cooley, Tyshawn",Grad
299,2010,Basket Weaving,BA,2.816185774,0,"Williams, Ian",UG
300,2010,Data Analytics,BA,2.731449672,0,"Yoshimura, Alex",UG
301,2010,Container Design,Doctoral,2.945172268,0,"Alexander, David",Grad
302,2010,Basket Weaving,Minor,3.265702664,1,"Martinez, Diondre",Grad
303,2010,Container Design,BA,2.816538658,0,"Moran, Michael",UG
304,2010,Basket Weaving,BA,2.545934223,0,"Ingalls, Lamberto",UG
305,2010,Data Analytics,BA,2.630736282,1,"Quarles, Tanner",UG
306,2010,Rug Weaving,BA,2.969620192,0,"Hibl, Michael",UG
307,2010,Container Design,Doctoral,2.798722304,0,"Salansky, Blake",Grad
308,2010,Basket Weaving,Minor,2.987168926,0,"Bilenduke, Danny",Grad
309,2010,Data Analytics,Doctoral,2.787441079,1,"Dallaire, Justin",Grad
310,2010,Basket Weaving,BA,3.207614982,1,"Lopez, Nicolas",UG
311,2010,Rug Weaving,BA,2.784834088,1,"Petrov, Ahmed",UG
312,2010,Rug Weaving,BA,2.924728427,0,"Miller, Caleb",UG
313,2010,Basket Weaving,BA,3.094889646,0,"Aguirre-Diaz, Gabriel",UG
314,2010,Container Design,Doctoral,2.948621495,0,"Duong, Andrew",Grad
315,2010,Basket Weaving,Masters,2.945362243,0,"Debaca, William",Grad
316,2010,Rug Weaving,BA,2.914758006,0,"Mueller, Paul",UG
317,2010,Container Design,Masters,2.804732938,0,"Sourn, Brendan",Grad
318,2010,Basket Weaving,BA,3.211199233,0,"Metcalf, Malik",UG
319,2010,Basket Weaving,BA,3.238881948,0,"Reshard, Dylan",UG
320,2010,Basket Weaving,BA,3.296502818,0,"Thompson, Derantae",UG
321,2010,Basket Weaving,Masters,3.334129286,0,"Beyhan, Daniel",Grad
322,2010,Container Design,Masters,3.136002666,0,"Salas, Jun",Grad
323,2010,Container Design,Minor,3.276834065,0,"Kimbrell, Daniel",Grad
324,2010,Rug Weaving,Minor,3.069373495,0,"Reed, Dakota",Grad
325,2010,Basket Weaving,BA,2.951195058,0,"Wauson, Brett",UG
326,2010,Basket Weaving,BA,3.188864401,1,"Miller, Giovanni",UG
327,2010,Rug Weaving,Masters,3.186779214,1,"Liberatore, Justin",Grad
328,2010,Rug Weaving,BA,3.206806497,0,"Lorenzo, William",UG
329,2010,Container Design,BA,2.974147057,0,"Lazarz, Kyle",UG
330,2010,Basket Weaving,BA,3.010465095,0,"Paradela, Siyang",UG
331,2010,Basket Weaving,BA,3.069541715,1,"Samadh, Anthony",UG
332,2010,Container Design,BA,2.722960527,0,"Dinh, Donovan",UG
333,2010,Container Design,BA,2.758744336,1,"Overlee, Jacob",UG
334,2010,Container Design,BA,3.205827665,0,"King, Ceasar",UG
335,2010,Rug Weaving,BA,3.104064316,1,"Spencer, Marquise",UG
336,2010,Basket Weaving,Masters,2.800638314,1,"Mcbride, Wei",Grad
337,2010,Container Design,Minor,3.159276728,0,"Lesso, Marco",Grad
338,2010,Basket Weaving,Doctoral,3.003028367,1,"Llamas, Conrad",Grad
339,2010,Basket Weaving,BA,3.064972831,1,"Roe, Dillan",UG
340,2010,Basket Weaving,Masters,2.844004153,0,"Vasquez, Michael",Grad
341,2010,Container Design,Masters,3.052617286,0,"Ramirez Rubio, Oscar",Grad
342,2010,Rug Weaving,Minor,3.211158737,1,"Forbush, Tyler",Grad
343,2010,Basket Weaving,BA,2.969966876,1,"Fairbairn, Ryan",UG
344,2010,Container Design,BA,2.959185433,0,"Vasquez, Ahmednur",UG
345,2010,Rug Weaving,BA,3.118313963,0,"Grant, Maurice",UG
346,2010,Data Analytics,Minor,2.7615344,0,"Kinsman, Daniel",Grad
347,2010,Basket Weaving,BA,2.93730831,0,"Marquardt, Jesus",UG
348,2010,Container Design,BA,2.658327792,1,"Lykins, Joseph",UG
349,2010,Basket Weaving,BA,3.118269866,0,"Pena, Abdi",UG
350,2010,Basket Weaving,Minor,3.096434343,1,"Gronseth, Dillan",Grad
351,2010,Container Design,BA,3.072542763,0,"Kropp, Zoran",UG
352,2010,Basket Weaving,BA,2.918825465,1,"Lovett, Tytus",UG
353,2010,Rug Weaving,BA,3.14330588,0,"Lee, Tyrel",UG
354,2010,Basket Weaving,BA,2.904961083,0,"Doolittle, Billy",UG
355,2010,Container Design,BA,3.28885276,1,"Davis, Billy",UG
356,2010,Container Design,Minor,3.094276429,0,"Mcgregor, Antonio",Grad
357,2010,Container Design,Doctoral,2.703833448,0,"Hunt, Dazjuan",Grad
358,2010,Container Design,BA,2.980464829,1,"Lee, Daniel",UG
359,2010,Rug Weaving,Minor,3.215805536,1,"Brown, Kevin",Grad
360,2010,Data Analytics,BA,3.284243271,0,"Merlan, Nikim",UG
361,2010,Basket Weaving,Masters,2.917318495,0,"Szeton, Michael",Grad
362,2010,Rug Weaving,Masters,2.816119776,0,"Tatum Clardy, Meske",Grad
363,2010,Basket Weaving,BA,3.031654312,0,"Yoo, Justin",UG
364,2010,Basket Weaving,BA,3.185644756,1,"Alvarez, Jonathan",UG
365,2010,Basket Weaving,BA,2.973629654,0,"Tan, Lawrence",UG
366,2010,Basket Weaving,BA,2.677056407,0,"Park, Rayden",UG
